Timestamp,Artifact,Type
1650482351,A2,Minor Update
1658920291,A2,Minor Update
1667308205,A2,Minor Update
1677143320,A2,Minor Update
1681891290,A2,Minor Update
1689086700,A2,Minor Update
1608128482,A2,Minor Update
1620300865,A2,Minor Update
1624003492,A2,Minor Update
1639143017,A2,Minor Update
1627643172,A2,Minor Update
1640012358,A2,Minor Update
1639755206,A2,Minor Update
1644607324,A2,Minor Update
1670423503,A3,Minor Update
1717793951,A3,Minor Update
1713449267,A3,Minor Update
1714732581,A3,Minor Update
1722940979,A3,Minor Update
1722861125,A3,Minor Update
1709207289,A3,Minor Update
1707727599,A3,Minor Update
1712593210,A3,Minor Update
1711964690,A3,Minor Update
1696932117,A3,Minor Update
1697110401,A3,Minor Update
1699454128,A3,Minor Update
1698834588,A3,Minor Update
1697189924,A3,Minor Update
1705916944,A3,Minor Update
1704974326,A3,Minor Update
1701679416,A3,Minor Update
1671026269,A3,Minor Update
1657269034,A3,Minor Update
1656921562,A3,Minor Update
1663236429,A3,Minor Update
1659011021,A3,Minor Update
1667821906,A3,Minor Update
1665686482,A3,Minor Update
1671632407,A3,Minor Update
1673297293,A3,Minor Update
1673355722,A3,Minor Update
1676041255,A3,Minor Update
1675113039,A3,Minor Update
1678105653,A3,Minor Update
1679916915,A3,Minor Update
1680255916,A3,Minor Update
1681285839,A3,Minor Update
1688378546,A3,Minor Update
1689279682,A3,Minor Update
1691395510,A3,Minor Update
1683018686,A3,Minor Update
1684924725,A3,Minor Update
1685689994,A3,Minor Update
1687291742,A3,Minor Update
1681816856,A3,Minor Update
1691666163,A3,Minor Update
1693813420,A3,Minor Update
1693815370,A3,Minor Update
1694087814,A3,Minor Update
1695982644,A3,Minor Update
1655800549,A3,Minor Update
1650458008,A3,Minor Update
1651489326,A3,Minor Update
1654679903,A3,Minor Update
1654857655,A3,Minor Update
1649420650,A3,Minor Update
1649662768,A3,Minor Update
1706611214,A4,Minor Update
1705691285,A4,Minor Update
1684164026,A4,Minor Update
1643981958,A4,Minor Update
1684162377,A4,Minor Update
1683877631,A4,Minor Update
1643792563,A4,Minor Update
1682355834,A4,Minor Update
1642081323,A4,Minor Update
1671698302,A4,Minor Update
1681915043,A4,Minor Update
1681203463,A4,Minor Update
1641890586,A4,Minor Update
1641391508,A4,Minor Update
1670431008,A4,Minor Update
1680186002,A4,Minor Update
1639050225,A4,Minor Update
1639154105,A4,Minor Update
1669025879,A4,Minor Update
1637745146,A4,Minor Update
1667472559,A4,Minor Update
1666861684,A4,Minor Update
1679402690,A4,Minor Update
1664281201,A4,Minor Update
1663246964,A4,Minor Update
1678876388,A4,Minor Update
1662649345,A4,Minor Update
1648729767,A4,Minor Update
1676317647,A4,Minor Update
1684942780,A4,Minor Update
1673014229,A4,Minor Update
1650488571,A4,Minor Update
1685968842,A4,Minor Update
1674036549,A4,Minor Update
1673598215,A4,Minor Update
1673879497,A4,Minor Update
1653914745,A4,Minor Update
1686904059,A4,Minor Update
1674811068,A4,Minor Update
1688128284,A4,Minor Update
1675676525,A4,Minor Update
1675703542,A4,Minor Update
1695300324,A4,Minor Update
1689799890,A4,Minor Update
1675766107,A4,Minor Update
1675787774,A4,Minor Update
1656592182,A4,Minor Update
1675798647,A4,Minor Update
1660588958,A4,Minor Update
1658857718,A4,Minor Update
1721190632,A5,Minor Update
1714681758,A5,Minor Update
1724888304,A5,Minor Update
1578810623,A5,Minor Update
1582993493,A5,Minor Update
1589497393,A5,Minor Update
1593466473,A5,Minor Update
1621998165,A5,Minor Update
1684498642,A5,Minor Update
1685447310,A5,Minor Update
1556169464,A5,Minor Update
1529044220,A5,Minor Update
1688577105,A5,Minor Update
1688554283,A5,Minor Update
1458542270,A5,Minor Update
1689582245,A5,Minor Update
1457577447,A5,Minor Update
1639104855,A5,Minor Update
1616764366,A5,Minor Update
1622077646,A5,Minor Update
1633202637,A5,Minor Update
1644443870,A5,Minor Update
1668743294,A5,Minor Update
1684453090,A5,Minor Update
1685038557,A5,Minor Update
1615194077,A1,Major Update
1606740399,A1,Major Update
1678201761,A1,Major Update
1646145168,A1,Major Update
1598446102,A1,Major Update
1622559933,A1,Major Update
1560926286,A1,Major Update
1630926086,A1,Major Update
1582643587,A1,Major Update
1638258649,A1,Major Update
1718003907,A2,Major Update
1709544716,A2,Major Update
1700751164,A2,Major Update
1650482351,A2,Major Update
1658920291,A2,Major Update
1667308205,A2,Major Update
1677143320,A2,Major Update
1689086700,A2,Major Update
1608128482,A2,Major Update
1620300865,A2,Major Update
1624003492,A2,Major Update
1627643172,A2,Major Update
1639755206,A2,Major Update
1644607324,A2,Major Update
1670423503,A3,Major Update
1697189924,A3,Major Update
1656921562,A3,Major Update
1671632407,A3,Major Update
1675113039,A3,Major Update
1678105653,A3,Major Update
1681816856,A3,Major Update
1691666163,A3,Major Update
1693813420,A3,Major Update
1706611214,A4,Major Update
1684164026,A4,Major Update
1643981958,A4,Major Update
1683877631,A4,Major Update
1643792563,A4,Major Update
1682355834,A4,Major Update
1642081323,A4,Major Update
1671698302,A4,Major Update
1681203463,A4,Major Update
1641391508,A4,Major Update
1670431008,A4,Major Update
1680186002,A4,Major Update
1639050225,A4,Major Update
1669025879,A4,Major Update
